latitude,longitude,n
32.0461,34.8118,226
32.0461,34.8119,2
32.0461,34.812,13
32.0462,34.7621,127
32.0462,34.7623,8
32.0462,34.7751,235
32.0462,34.7756,565
32.0462,34.778,498
32.0462,34.7781,167
32.0462,34.7782,458
32.0462,34.7802,241
32.0462,34.7806,34
32.0462,34.783,228
32.0462,34.7927,152
32.0462,34.7928,219
32.0462,34.7929,93
32.0462,34.8001,638
32.0462,34.8002,275
32.0462,34.8006,98
32.0462,34.8007,412
32.0462,34.8015,416
32.0462,34.8016,14
32.0462,34.808,26
32.0462,34.8102,50
32.0462,34.8103,797
32.0462,34.8104,50
32.0462,34.8105,76
32.0462,34.8106,205
32.0463,34.7622,72
32.0463,34.7751,367
32.0463,34.7752,201
32.0463,34.7756,205
32.0463,34.7781,1046
32.0463,34.7782,864
32.0463,34.7927,240
32.0463,34.7928,100
32.0463,34.7929,948
32.0463,34.7948,668
32.0463,34.8001,605
32.0463,34.8002,621
32.0463,34.8003,69
32.0463,34.8014,129
32.0463,34.8016,1
32.0463,34.8018,1
32.0463,34.8019,40
32.0463,34.802,7
32.0463,34.8021,29
32.0463,34.8043,539
32.0463,34.8049,10
32.0463,34.8071,231
32.0463,34.8072,57
32.0463,34.8078,2
32.0463,34.8079,101
32.0463,34.8104,10
32.0463,34.8106,283
32.0463,34.8107,172
32.0463,34.8129,32
32.0463,34.813,79
32.0464,34.7622,4
32.0464,34.7723,1
32.0464,34.7752,581
32.0464,34.7756,726
32.0464,34.7757,1
32.0464,34.7763,767
32.0464,34.7779,3
32.0464,34.778,662
32.0464,34.7781,25
32.0464,34.7926,10
32.0464,34.8001,360
32.0464,34.8002,486
32.0464,34.8019,8
32.0464,34.8025,121
32.0464,34.8042,275
32.0464,34.8045,2
32.0464,34.8047,1
32.0464,34.8048,100
32.0464,34.8073,246
32.0464,34.8079,85
32.0464,34.8103,1
32.0464,34.8104,2
32.0464,34.8124,141
32.0464,34.8125,18
32.0464,34.8128,55
32.0464,34.8129,35
32.0464,34.8136,45
32.0465,34.7629,1
32.0465,34.7636,50
32.0465,34.7732,7
32.0465,34.7751,2
32.0465,34.7752,183
32.0465,34.7756,71
32.0465,34.7802,6
32.0465,34.7803,9
32.0465,34.7894,160
32.0465,34.7912,919
32.0465,34.8042,1165
32.0465,34.8105,1
32.0465,34.8106,7
32.0465,34.8124,98
32.0465,34.8125,109
32.0465,34.8129,1147
32.0466,34.7689,1
32.0466,34.7732,1
32.0466,34.7753,119
32.0466,34.7757,97
32.0466,34.776,250
32.0466,34.7764,127
32.0466,34.7765,99
32.0466,34.7788,44
32.0466,34.7789,34
32.0466,34.7801,178
32.0466,34.7803,30
32.0466,34.7892,760
32.0466,34.7893,83
32.0466,34.7894,261
32.0466,34.7895,381
32.0466,34.7896,100
32.0466,34.7913,274
32.0466,34.7914,240
32.0466,34.7915,204
32.0466,34.7916,22
32.0466,34.7923,79
32.0466,34.7924,20
32.0466,34.7925,502
32.0466,34.7926,95
32.0466,34.7927,200
32.0466,34.7928,1
32.0466,34.7929,276
32.0466,34.793,414
32.0466,34.7931,281
32.0466,34.7932,290
32.0466,34.7933,158
32.0466,34.7934,146
32.0466,34.7943,93
32.0466,34.8048,1
32.0466,34.8049,144
32.0466,34.8098,117
32.0466,34.8099,41
32.0466,34.81,39
32.0466,34.8124,113
32.0466,34.8125,44
32.0466,34.8128,239
32.0466,34.8129,1199
32.0466,34.8136,387
32.0466,34.8137,374
32.0466,34.814,110
32.0467,34.7623,39
32.0467,34.7689,69
32.0467,34.7732,2
32.0467,34.7738,26
32.0467,34.7756,9
32.0467,34.7757,145
32.0467,34.7765,732
32.0467,34.7766,13
32.0467,34.7892,278
32.0467,34.7893,394
32.0467,34.7895,564
32.0467,34.7906,57
32.0467,34.7941,19
32.0467,34.7942,21
32.0467,34.8049,401
32.0467,34.8083,26
32.0467,34.8084,1
32.0467,34.8099,52
32.0467,34.8123,10
32.0467,34.8124,77
32.0467,34.8125,2
32.0467,34.8128,328
32.0467,34.8129,100
32.0467,34.8136,109
32.0467,34.8137,198
32.0468,34.7623,9
32.0468,34.7624,1
32.0468,34.7754,34
32.0468,34.7755,145
32.0468,34.7769,292
32.0468,34.7895,124
32.0468,34.7896,400
32.0468,34.7905,163
32.0468,34.7906,191
32.0468,34.7944,71
32.0468,34.8069,51
32.0468,34.81,46
32.0468,34.8101,21
32.0468,34.8122,21
32.0468,34.8123,88
32.0468,34.8124,537
32.0468,34.8128,270
32.0468,34.8129,145
32.0468,34.8137,207
32.0469,34.7624,173
32.0469,34.7763,97
32.0469,34.7764,388
32.0469,34.7821,2
32.0469,34.7822,340
32.0469,34.7823,178
32.0469,34.7942,32
32.0469,34.7943,360
32.0469,34.7944,6
32.0469,34.7967,106
32.0469,34.802,18
32.0469,34.8023,59
32.0469,34.8069,2
32.0469,34.8078,86
32.0469,34.8079,1
32.0469,34.8094,49
32.0469,34.8123,104
32.0469,34.8124,18
32.0469,34.8128,77
32.0469,34.8137,68
32.047,34.7668,140
32.047,34.7762,609
32.047,34.7763,401
32.047,34.7764,303
32.047,34.7785,182
32.047,34.7786,142
32.047,34.7811,117
32.047,34.7813,20
32.047,34.7814,1
32.047,34.7823,57
32.047,34.783,2
32.047,34.7904,16
32.047,34.8049,22
32.047,34.8094,483
32.047,34.8102,6
32.047,34.8121,243
32.047,34.8122,454
32.047,34.8123,188
32.047,34.8124,246
32.0471,34.7759,954
32.0471,34.776,228
32.0471,34.7762,598
32.0471,34.7763,297
32.0471,34.7783,97
32.0471,34.7784,2
32.0471,34.7813,66
32.0471,34.7814,356
32.0471,34.8011,7
32.0471,34.8048,1
32.0471,34.8094,412
32.0471,34.8095,190
32.0471,34.81,2
32.0471,34.8121,55
32.0471,34.8122,999
32.0471,34.8123,138
32.0471,34.8124,599
32.0471,34.8125,233
32.0471,34.8137,29
32.0472,34.7632,34
32.0472,34.7633,63
32.0472,34.7634,86
32.0472,34.7757,152
32.0472,34.7758,39
32.0472,34.776,39
32.0472,34.7761,397
32.0472,34.7762,489
32.0472,34.7782,83
32.0472,34.7783,397
32.0472,34.7816,1
32.0472,34.7886,1
32.0472,34.792,1
32.0472,34.7972,8
32.0472,34.7976,3
32.0472,34.8023,92
32.0472,34.8049,16
32.0472,34.8056,995
32.0472,34.8057,170
32.0472,34.8058,318
32.0472,34.8094,120
32.0472,34.81,219
32.0472,34.8122,2
32.0472,34.8124,94
32.0472,34.8125,932
32.0472,34.8126,21
32.0472,34.813,140
32.0473,34.7622,2
32.0473,34.7632,10
32.0473,34.7757,117
32.0473,34.7758,327
32.0473,34.7772,345
32.0473,34.7775,4
32.0473,34.7975,16
32.0473,34.8056,979
32.0473,34.8057,1847
32.0473,34.8058,75
32.0473,34.8059,46
32.0473,34.807,284
32.0473,34.8094,204
32.0473,34.8123,21
32.0473,34.8125,30
32.0473,34.8126,42
32.0473,34.8127,62
32.0473,34.8138,73
32.0474,34.7622,39
32.0474,34.7758,86
32.0474,34.7769,199
32.0474,34.7772,1
32.0474,34.7773,413
32.0474,34.7774,71
32.0474,34.7775,67
32.0474,34.7784,1
32.0474,34.7785,2
32.0474,34.7919,1
32.0474,34.7973,8
32.0474,34.7992,572
32.0474,34.8021,74
32.0474,34.8022,165
32.0474,34.8056,1092
32.0474,34.8057,2610
32.0474,34.8058,413
32.0474,34.8069,446
32.0474,34.807,441
32.0474,34.8093,226
32.0474,34.8094,145
32.0474,34.8122,81
32.0474,34.8123,18
32.0474,34.8137,168
32.0474,34.8138,1
32.0475,34.7632,9
32.0475,34.7642,734
32.0475,34.7643,749
32.0475,34.7644,112
32.0475,34.7666,1
32.0475,34.7668,157
32.0475,34.7771,18
32.0475,34.7772,270
32.0475,34.7773,18
32.0475,34.7774,11
32.0475,34.7785,36
32.0475,34.7812,103
32.0475,34.7813,2
32.0475,34.7906,29
32.0475,34.799,177
32.0475,34.8021,135
32.0475,34.8022,137
32.0475,34.8023,39
32.0475,34.8057,309
32.0475,34.8058,89
32.0475,34.8094,135
32.0475,34.81,3
32.0475,34.8106,76
32.0475,34.8122,155
32.0475,34.8123,3
32.0476,34.7631,1
32.0476,34.7641,145
32.0476,34.7642,852
32.0476,34.7643,4
32.0476,34.7644,1
32.0476,34.7661,74
32.0476,34.7662,125
32.0476,34.7663,456
32.0476,34.7664,111
32.0476,34.7766,173
32.0476,34.7767,224
32.0476,34.7771,1
32.0476,34.7772,81
32.0476,34.7777,11
32.0476,34.7811,633
32.0476,34.7812,420
32.0476,34.7813,1
32.0476,34.7853,708
32.0476,34.7854,102
32.0476,34.8024,5
32.0476,34.8044,32
32.0476,34.8122,77
32.0476,34.8137,20
32.0476,34.8138,508
32.0477,34.7641,52
32.0477,34.7642,9
32.0477,34.7644,18
32.0477,34.7648,115
32.0477,34.7758,1
32.0477,34.7759,1
32.0477,34.7764,74
32.0477,34.7765,364
32.0477,34.7766,624
32.0477,34.7767,884
32.0477,34.7768,25
32.0477,34.7769,63
32.0477,34.7792,1
32.0477,34.7811,87
32.0477,34.7812,25
32.0477,34.7853,1456
32.0477,34.7854,1
32.0477,34.797,22
32.0477,34.799,1
32.0477,34.7992,1
32.0477,34.8024,108
32.0477,34.8032,199
32.0477,34.8043,1126
32.0477,34.8044,836
32.0477,34.8045,95
32.0477,34.8048,664
32.0477,34.8053,6
32.0477,34.807,205
32.0477,34.8071,104
32.0477,34.8092,1
32.0477,34.8093,1
32.0478,34.7641,17
32.0478,34.7642,1
32.0478,34.7645,10
32.0478,34.7646,136
32.0478,34.7647,111
32.0478,34.7648,5
32.0478,34.7653,1
32.0478,34.7758,25
32.0478,34.7759,1
32.0478,34.776,2
32.0478,34.7761,594
32.0478,34.7762,1060
32.0478,34.7763,162
32.0478,34.7764,1
32.0478,34.7765,142
32.0478,34.7766,105
32.0478,34.7775,17
32.0478,34.7789,11
32.0478,34.779,1
32.0478,34.7791,4
32.0478,34.7792,14
32.0478,34.7793,1
32.0478,34.7812,90
32.0478,34.7893,217
32.0478,34.7894,132
32.0478,34.7982,16
32.0478,34.799,51
32.0478,34.7991,1
32.0478,34.8024,196
32.0478,34.8025,287
32.0478,34.8026,73
32.0478,34.8032,37
32.0478,34.8071,18
32.0478,34.8092,222
32.0478,34.8093,137
32.0478,34.8119,50
32.0478,34.8121,2
32.0478,34.8122,157
32.0478,34.8123,1
32.0479,34.7646,4
32.0479,34.7647,123
32.0479,34.7648,463
32.0479,34.7649,43
32.0479,34.7758,110
32.0479,34.7759,682
32.0479,34.776,774
32.0479,34.7761,65
32.0479,34.7762,2
32.0479,34.7763,41
32.0479,34.7765,2
32.0479,34.7766,63
32.0479,34.7789,1
32.0479,34.7791,33
32.0479,34.7792,792
32.0479,34.7793,2
32.0479,34.7893,67
32.0479,34.7894,238
32.0479,34.7937,20
32.0479,34.7938,335
32.0479,34.7942,21
32.0479,34.8025,60
32.0479,34.8026,339
32.0479,34.8027,47
32.0479,34.8071,318
32.0479,34.8072,1
32.0479,34.8091,215
32.0479,34.8093,327
32.0479,34.812,13
32.0479,34.8121,201
32.0479,34.8122,440
32.0479,34.8138,334
32.048,34.7646,843
32.048,34.7647,200
32.048,34.7648,1127
32.048,34.7649,323
32.048,34.7758,71
32.048,34.7759,235
32.048,34.776,159
32.048,34.7761,2
32.048,34.7765,51
32.048,34.7781,31294
32.048,34.7791,7
32.048,34.7792,272
32.048,34.7793,1
32.048,34.7812,806
32.048,34.7894,34
32.048,34.7905,79
32.048,34.7906,1
32.048,34.7931,167
32.048,34.7937,440
32.048,34.7938,592
32.048,34.794,930
32.048,34.7941,1250
32.048,34.7995,11
32.048,34.8035,69
32.048,34.8036,49
32.048,34.8051,37
32.048,34.8104,13
32.048,34.8105,52
32.048,34.8111,39
32.048,34.8121,16
32.048,34.8122,116
32.0481,34.7634,20
32.0481,34.7644,4
32.0481,34.7645,204
32.0481,34.7646,491
32.0481,34.7647,1100
32.0481,34.7648,981
32.0481,34.7651,109
32.0481,34.7652,268
32.0481,34.7653,1
32.0481,34.7758,2
32.0481,34.7759,1
32.0481,34.776,10
32.0481,34.7761,1
32.0481,34.7764,2
32.0481,34.7774,4
32.0481,34.779,44
32.0481,34.7792,81
32.0481,34.7811,66
32.0481,34.7812,135
32.0481,34.7815,25
32.0481,34.7829,117
32.0481,34.783,4
32.0481,34.79,329
32.0481,34.7906,36
32.0481,34.7926,1
32.0481,34.7927,2
32.0481,34.7931,385
32.0481,34.7937,101
32.0481,34.7938,115
32.0481,34.794,326
32.0481,34.7941,268
32.0481,34.7942,1
32.0481,34.7976,47
32.0481,34.7978,4
32.0481,34.7983,32
32.0481,34.7984,135
32.0481,34.7993,21
32.0481,34.8051,33
32.0481,34.8096,222
32.0481,34.8098,41
32.0481,34.8108,33
32.0481,34.8109,58
32.0481,34.8111,528
32.0481,34.8115,218
32.0481,34.8116,20
32.0481,34.8121,11
32.0482,34.7644,2
32.0482,34.7645,165
32.0482,34.7646,58
32.0482,34.7775,123
32.0482,34.7787,1
32.0482,34.779,16
32.0482,34.7792,242
32.0482,34.7793,149
32.0482,34.7811,81
32.0482,34.7812,19
32.0482,34.7813,1
32.0482,34.7894,8
32.0482,34.79,38
32.0482,34.7901,1
32.0482,34.7907,358
32.0482,34.7911,87
32.0482,34.7938,10
32.0482,34.7968,410
32.0482,34.7983,176
32.0482,34.7993,1
32.0482,34.8013,472
32.0482,34.8036,24
32.0482,34.8063,87
32.0482,34.8078,2
32.0482,34.8079,212
32.0482,34.808,13
32.0482,34.8115,26
32.0482,34.8116,1
32.0482,34.8117,118
32.0482,34.8118,133
32.0482,34.8119,1
32.0482,34.8121,86
32.0482,34.8123,1
32.0482,34.8124,65
32.0482,34.8126,270
32.0482,34.8127,6
32.0482,34.8128,263
32.0483,34.7648,355
32.0483,34.7649,22
32.0483,34.7761,1
32.0483,34.7784,8
32.0483,34.7785,57
32.0483,34.7792,26
32.0483,34.7793,28
32.0483,34.7811,345
32.0483,34.7814,337
32.0483,34.7816,13
32.0483,34.789,43
32.0483,34.7894,150
32.0483,34.7895,1
32.0483,34.7907,45
32.0483,34.7934,3
32.0483,34.7958,1
32.0483,34.7959,165
32.0483,34.7984,70
32.0483,34.7997,96
32.0483,34.7998,386
32.0483,34.8024,4
32.0483,34.8025,5
32.0483,34.8026,3
32.0483,34.8095,1
32.0483,34.8096,1
32.0483,34.8119,30
32.0483,34.8126,52
32.0484,34.7648,86
32.0484,34.7657,16
32.0484,34.7659,70
32.0484,34.7686,1
32.0484,34.7762,1
32.0484,34.7763,1
32.0484,34.7794,25
32.0484,34.7811,786
32.0484,34.7813,26
32.0484,34.7814,1
32.0484,34.7932,1
32.0484,34.7943,18
32.0484,34.795,127
32.0484,34.7952,25
32.0484,34.7984,508
32.0484,34.7992,54
32.0484,34.7994,139
32.0484,34.7997,35
32.0484,34.7998,125
32.0484,34.7999,43
32.0484,34.8,273
32.0484,34.8053,9
32.0484,34.8054,130
32.0484,34.8078,21
32.0484,34.8079,1
32.0484,34.8095,58
32.0484,34.8096,3
32.0484,34.8097,49
32.0484,34.8098,1
32.0484,34.8101,320
32.0484,34.8102,45
32.0484,34.8122,1
32.0485,34.7635,1
32.0485,34.7639,97
32.0485,34.7655,114
32.0485,34.7743,161
32.0485,34.7766,36
32.0485,34.7775,229
32.0485,34.7793,257
32.0485,34.7811,118
32.0485,34.7816,259
32.0485,34.7895,50
32.0485,34.7938,45
32.0485,34.7939,100
32.0485,34.7943,446
32.0485,34.7949,225
32.0485,34.7984,248
32.0485,34.7985,40
32.0485,34.7992,41
32.0485,34.8039,2
32.0485,34.8052,11
32.0485,34.8054,183
32.0485,34.8097,19
32.0485,34.8098,12
32.0485,34.8101,1
32.0485,34.8102,21
32.0485,34.812,4
32.0486,34.7659,48
32.0486,34.766,1
32.0486,34.7693,3
32.0486,34.7741,172
32.0486,34.7762,9
32.0486,34.7763,2
32.0486,34.7772,257
32.0486,34.7775,36
32.0486,34.7794,199
32.0486,34.7811,622
32.0486,34.7812,303
32.0486,34.7814,219
32.0486,34.7815,276
32.0486,34.7816,136
32.0486,34.7894,108
32.0486,34.7938,196
32.0486,34.7939,64
32.0486,34.7984,307
32.0486,34.7985,139
32.0486,34.8039,20
32.0486,34.8043,27
32.0486,34.8052,759
32.0486,34.8101,158
32.0486,34.8102,50
32.0486,34.812,71
32.0487,34.766,1
32.0487,34.7685,452
32.0487,34.7686,325
32.0487,34.7699,2
32.0487,34.77,4
32.0487,34.7769,23
32.0487,34.777,175
32.0487,34.7771,15
32.0487,34.7772,111
32.0487,34.779,453
32.0487,34.7794,89
32.0487,34.7811,95
32.0487,34.7815,135
32.0487,34.7816,1
32.0487,34.7894,7
32.0487,34.7895,41
32.0487,34.7929,1
32.0487,34.793,392
32.0487,34.7934,280
32.0487,34.7956,67
32.0487,34.7957,1
32.0487,34.7958,48
32.0487,34.796,93
32.0487,34.7985,23
32.0487,34.8052,329
32.0487,34.8053,11
32.0488,34.7636,1
32.0488,34.7642,17
32.0488,34.7682,120
32.0488,34.7683,12
32.0488,34.7684,263
32.0488,34.7685,6
32.0488,34.7686,778
32.0488,34.7687,1
32.0488,34.7688,42
32.0488,34.7693,2
32.0488,34.7748,49
32.0488,34.7749,74
32.0488,34.7755,356
32.0488,34.7756,77
32.0488,34.7768,343
32.0488,34.7769,629
32.0488,34.7784,24
32.0488,34.7816,36
32.0488,34.7832,220
32.0488,34.7833,497
32.0488,34.7895,152
32.0488,34.7896,66
32.0488,34.7929,511
32.0488,34.7934,474
32.0488,34.7935,16
32.0488,34.7943,732
32.0488,34.7957,26
32.0488,34.7985,4
32.0488,34.7994,60
32.0488,34.8052,2
32.0488,34.8053,4
32.0488,34.81,100
32.0488,34.8101,1
32.0488,34.8119,31
32.0488,34.8137,48
32.0489,34.7647,10
32.0489,34.7685,2
32.0489,34.7686,1
32.0489,34.7745,42
32.0489,34.7753,142
32.0489,34.7755,18
32.0489,34.7767,86
32.0489,34.7781,44
32.0489,34.781,340
32.0489,34.7817,212
32.0489,34.7895,57
32.0489,34.7938,16
32.0489,34.7944,499
32.0489,34.8101,107
32.0489,34.8134,206
32.0489,34.8135,481
32.049,34.7645,9
32.049,34.7646,241
32.049,34.7662,4
32.049,34.7686,1
32.049,34.7743,404
32.049,34.7744,24
32.049,34.7751,15
32.049,34.7781,95
32.049,34.7795,149
32.049,34.7808,914
32.049,34.7809,318
32.049,34.781,662
32.049,34.7811,26
32.049,34.7895,1
32.049,34.7896,101
32.049,34.7934,1109
32.049,34.7935,548
32.049,34.7937,289
32.049,34.7938,68
32.049,34.7945,143
32.049,34.797,1
32.049,34.7985,137
32.049,34.804,1
32.049,34.8056,128
32.049,34.8058,1
32.049,34.8059,180
32.049,34.806,490
32.049,34.8061,614
32.049,34.8063,11
32.049,34.8084,59
32.049,34.8086,108
32.049,34.8091,410
32.049,34.8119,24
32.049,34.812,40
32.049,34.8124,517
32.049,34.8125,1
32.0491,34.7646,56
32.0491,34.7647,297
32.0491,34.7747,3
32.0491,34.7748,84
32.0491,34.7749,168
32.0491,34.7766,1
32.0491,34.7767,49
32.0491,34.7775,77
32.0491,34.778,24
32.0491,34.7795,2
32.0491,34.7796,4
32.0491,34.7797,1
32.0491,34.7812,145
32.0491,34.7864,158
32.0491,34.7895,21
32.0491,34.7896,165
32.0491,34.7934,1
32.0491,34.797,3
32.0491,34.804,150
32.0491,34.8041,177
32.0491,34.8042,213
32.0491,34.8045,114
32.0491,34.806,29
32.0491,34.8061,270
32.0491,34.8062,364
32.0491,34.8063,245
32.0491,34.8067,2
32.0491,34.8084,34
32.0491,34.8086,198
32.0491,34.8087,63
32.0491,34.809,715
32.0491,34.8091,23
32.0491,34.8095,18
32.0491,34.8119,55
32.0491,34.812,1
32.0491,34.8124,10
32.0491,34.8125,105
32.0491,34.8126,7
32.0491,34.8127,92
32.0491,34.8128,307
32.0491,34.8129,29
32.0491,34.813,379
32.0492,34.7632,11
32.0492,34.7646,657
32.0492,34.7647,215
32.0492,34.7648,150
32.0492,34.7764,3
32.0492,34.7765,7
32.0492,34.7766,36
32.0492,34.778,4
32.0492,34.7789,12
32.0492,34.7818,215
32.0492,34.7832,112
32.0492,34.7863,393
32.0492,34.7864,350
32.0492,34.7865,93
32.0492,34.7866,4
32.0492,34.7867,23
32.0492,34.7868,111
32.0492,34.7869,240
32.0492,34.7896,17
32.0492,34.7915,7
32.0492,34.7956,33
32.0492,34.7957,8
32.0492,34.7985,70
32.0492,34.8036,160
32.0492,34.8037,69
32.0492,34.8038,178
32.0492,34.8039,1
32.0492,34.804,1438
32.0492,34.8041,1567
32.0492,34.8042,1732
32.0492,34.8047,135
32.0492,34.8062,407
32.0492,34.8063,195
32.0492,34.8064,262
32.0492,34.8067,68
32.0492,34.8079,775
32.0492,34.808,195
32.0492,34.8081,14
32.0492,34.8083,55
32.0492,34.8087,476
32.0492,34.8088,23
32.0492,34.809,134
32.0492,34.8091,85
32.0492,34.8109,68
32.0492,34.8114,331
32.0492,34.8129,125
32.0493,34.7646,435
32.0493,34.7647,1050
32.0493,34.7648,883
32.0493,34.7741,237
32.0493,34.7742,1
32.0493,34.7743,74
32.0493,34.7758,1
32.0493,34.7784,40
32.0493,34.7787,64
32.0493,34.7796,53
32.0493,34.7797,60
32.0493,34.7812,116
32.0493,34.7818,24
32.0493,34.7863,113
32.0493,34.7865,1
32.0493,34.7866,124
32.0493,34.7869,319
32.0493,34.7896,295
32.0493,34.795,28
32.0493,34.8028,97
32.0493,34.8029,1
32.0493,34.8037,3
32.0493,34.8038,433
32.0493,34.804,604
32.0493,34.8041,722
32.0493,34.8042,727
32.0493,34.8064,24
32.0493,34.8078,1
32.0493,34.8079,8
32.0493,34.8081,8
32.0493,34.809,2
32.0493,34.8096,1
32.0493,34.8097,5
32.0493,34.8114,2
32.0493,34.8125,1
32.0494,34.7648,129
32.0494,34.7687,3
32.0494,34.7739,40
32.0494,34.7741,74
32.0494,34.7755,1
32.0494,34.7758,5
32.0494,34.7796,39
32.0494,34.7812,30
32.0494,34.7813,107
32.0494,34.7818,10
32.0494,34.7826,205
32.0494,34.7827,335
32.0494,34.7865,1036
32.0494,34.7866,663
32.0494,34.7867,49
32.0494,34.7869,1
32.0494,34.7896,112
32.0494,34.7949,43
32.0494,34.7957,188
32.0494,34.7958,11
32.0494,34.7986,132
32.0494,34.8027,147
32.0494,34.8028,277
32.0494,34.8029,247
32.0494,34.803,1
32.0494,34.8031,69
32.0494,34.808,1
32.0494,34.8085,84
32.0494,34.8106,612
32.0494,34.8125,1
32.0494,34.8126,337
32.0494,34.8135,96
32.0494,34.8136,92
32.0495,34.7688,1
32.0495,34.7738,39
32.0495,34.7739,305
32.0495,34.7754,220
32.0495,34.7755,65
32.0495,34.777,63
32.0495,34.7812,36
32.0495,34.7813,224
32.0495,34.7824,928
32.0495,34.7825,117
32.0495,34.7827,202
32.0495,34.7862,7
32.0495,34.7863,360
32.0495,34.7864,459
32.0495,34.7865,950
32.0495,34.7866,147
32.0495,34.7869,155
32.0495,34.7913,37
32.0495,34.7941,20
32.0495,34.7949,115
32.0495,34.7957,341
32.0495,34.7958,262
32.0495,34.8026,43
